Year,Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Population ages 00-04, female (% of female population)","Population ages 00-04, male (% of male population)",Population ages 0-14 (% of total population),"Population ages 0-14, female","Population ages 0-14, female (% of female population)","Population ages 0-14, male","Population ages 0-14, male (% of male population)","Population ages 0-14, total","Population ages 05-09, female (% of female population)","Population ages 05-09, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 15-19, male (% of male population)",Population ages 15-64 (% of total population),"Population ages 15-64, female","Population ages 15-64, female (% of female population)","Population ages 15-64, male","Population ages 15-64, male (% of male population)","Population ages 15-64, total","Population ages 20-24, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 25-29, female (% of female population)","Population ages 25-29, male (% of male population)","Population ages 30-34, female (% of female population)","Population ages 30-34, male (% of male population)","Population ages 35-39, female (% of female population)","Population ages 35-39, male (% of male population)","Population ages 40-44, female (% of female population)","Population ages 40-44, male (% of male population)","Population ages 45-49, female (% of female population)","Population ages 45-49, male (% of male population)","Population ages 50-54, female (% of female population)","Population ages 50-54, male (% of male population)","Population ages 55-59, female (% of female population)","Population ages 55-59, male (% of male population)","Population ages 60-64, female (% of female population)","Population ages 60-64, male (% of male population)",Population ages 65 and above (% of total population),"Population ages 65 and above, female","Population ages 65 and above, female (% of female population)","Population ages 65 and above, male","Population ages 65 and above, male (% of male population)","Population ages 65 and above, total","Population ages 65-69, female (% of female population)","Population ages 65-69, male (% of male population)","Population ages 70-74, female (% of female population)","Population ages 70-74, male (% of male population)","Population ages 75-79, female (% of female population)","Population ages 75-79, male (% of male population)","Population ages 80 and above, female (% of female population)","Population ages 80 and above, male (% of male population)",Population growth (annual %),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Sex ratio at birth (male births per female births),POP,NMR,DEATHS,BIRTHS
1960,88.6341131823196,5.0761269266602,83.5579862556594,17.8172550796801,18.2707448179761,44.2963284031762,1219747.0,43.9404080747487,1235011.0,44.6535549141412,2454759.0,14.510757361632,14.6625361609075,11.6123956334366,11.7202739352576,9.74263242399888,9.92930341464543,53.0126806402973,1473070.0,53.0661263519426,1464722.0,52.9590387896577,2937791.0,8.54578295501336,8.67209157111437,7.35754326594529,7.39562645100104,6.29018272546726,6.31700908573873,5.32716623323569,5.37954625902509,4.47748182309748,4.51003936345956,3.74963120241881,3.71378530987651,3.11279568199724,2.98024451118914,2.52579961980076,2.33264744665396,1.9371104209678,1.72874537695385,2.69099095652651,83096.0,2.99346557330867,66030.0,2.38740629620108,149126.0,1.39518061264888,1.18113880328864,0.882754610825339,0.715390291937523,0.454967428734258,0.328119220627364,0.260562921100193,0.162757980347557,,2775913.0,50.0915787931305,2765763.0,49.9084212068695,5541676.0,1.053,5761223,,,
1961,88.9120999837922,5.11424460892307,83.7978553748692,17.5428004771336,18.0099920182731,44.3581157509253,1248601.0,43.9927298953896,1264133.0,44.7250196005174,2512734.0,14.617229908338,14.7865029563524,11.832699509918,11.9285246258919,9.72641624608004,9.90839765416479,52.9346758924132,1504145.0,52.9964694153703,1494421.0,52.8726256485153,2998566.0,8.51420364009071,8.6387688327715,7.34460609432356,7.3838757794213,6.28224206305514,6.29928433345504,5.32452187540794,5.36838358707866,4.47602590164148,4.50610234158961,3.74772941356991,3.7149879566496,3.11065276089745,2.98363038377388,2.52785349580024,2.33516813988967,1.94221792450387,1.73402663972126,2.70720835666147,85452.0,3.01080068924002,67902.0,2.40235475096729,153354.0,1.39900362853409,1.18604358249341,0.890142109510663,0.721079684240618,0.460450528742088,0.334394025592473,0.261204422453186,0.160837458640785,2.19488337445001,2838198.0,50.1036426937991,2826456.0,49.8963573062009,5664654.0,1.053,5919487,,,
1962,89.0703539744969,5.15388931674933,83.9164646577476,17.2058541454513,17.6893151465797,44.3837243088183,1276647.0,44.0026856977118,1292661.0,44.7665753727326,2569309.0,14.7345951953516,14.9200042458,12.062236356909,12.157255980353,9.72484868392368,9.89423767718033,52.8903734659744,1536702.0,52.966098408831,1525044.0,52.8142883289505,3061746.0,8.47978376548813,8.60261061287222,7.34125749729991,7.38175265306221,6.27835264568971,6.2878704317608,5.32522637739809,5.35912766472864,4.4775530371012,4.5042535054256,3.74832682445715,3.71666800285847,3.11102509586669,2.98991241565758,2.52935370745714,2.33792585053226,1.95037077414926,1.73992951487233,2.72590222520727,87944.0,3.03121589345721,69854.0,2.41913629831697,157799.0,1.40297718828613,1.19240832959459,0.897547629170358,0.724521866995295,0.468463301467672,0.343075181654265,0.262227774533058,0.159130920072816,2.16885287061227,2901294.0,50.1186245153186,2887559.0,49.8813582101051,5788854.0,1.053,6083619,0.0,135511.0,302496.0
1963,89.0045435136676,5.19429465593814,83.8102488577295,16.855100427642,17.354361730158,44.3429847694654,1302675.0,43.9388156795193,1319627.0,44.7493211951577,2622302.0,14.8091750846152,15.0105478829122,12.2745401672622,12.3844115820875,9.76901397809223,9.91239882357449,52.9087770143783,1571487.0,53.005762887316,1557369.0,52.8112710597358,3128856.0,8.44807473421421,8.56962501352184,7.3431067377936,7.38409451825457,6.27753502702508,6.282102713083,5.32866806656151,5.3515797069652,4.48205268140126,4.5043919275209,3.75155177685512,3.71951482112344,3.11384126771041,2.99859305043553,2.53116075860112,2.3421013634423,1.96075785906147,1.74686912181457,2.74823821615629,90586.0,3.05542143316469,71936.0,2.43940774510645,162522.0,1.40796186115744,1.2002985486615,0.905321922127238,0.727669974190665,0.477932936256101,0.352771663513549,0.264204713623914,0.158667558740738,2.13339665386579,2964747.0,50.1337069303716,2948933.0,49.8662930696284,5913680.0,1.053,6253081,0.0,132784.0,304723.0
1964,88.5932975097936,5.2306072726864,83.3626902371072,16.5662645631188,17.0823339933336,44.2023573679024,1326102.0,43.7731825706349,1344095.0,44.6341149562698,2670197.0,14.7951384476239,15.0129550992283,12.4117795598922,12.5388258637079,9.90848279493049,10.0259600097962,53.0241493432834,1609966.0,53.1432240133224,1593142.0,52.9043580771163,3203108.0,8.42243813717513,8.54329228048766,7.33948179311005,7.37989863392401,6.27543955490785,6.27715859515419,5.33184683205231,5.34304654454587,4.48728084146315,4.50394132224201,3.75596842367597,3.72250102735888,3.11754308075465,3.00706075738142,2.53374748513361,2.34750881038068,1.97099507011918,1.75399009584532,2.77349328881419,93417.0,3.08359341604266,74126.0,2.46152696661395,167542.0,1.41484443725584,1.2083068710592,0.913488596246557,0.731961030928691,0.487426080670477,0.361198626867407,0.26783430186979,0.160060437758656,2.12759228310479,3029485.0,50.1500037991361,3011363.0,49.8500127548339,6040847.0,1.053,6426174,0.0,132781.0,307027.0
1965,88.0208547574192,5.26490910703039,82.7559456503888,16.3630202336017,16.8964434034143,44.0142349504171,1348516.0,43.5627898397338,1367482.0,44.4686762538132,2715998.0,14.6907748932062,14.9253258124214,12.5089947129259,12.6469070379775,10.1063827209768,10.2073421244235,53.185584681871,1650660.0,53.3233233249402,1631278.0,53.0469318822214,3281937.0,8.40254382999439,8.52220974590257,7.32406664559353,7.36308268938289,6.26847701803401,6.26871651189418,5.3322031155182,5.33177308880614,4.49153362298395,4.50088922231338,3.76034321320946,3.72463667732303,3.12112298597172,3.0139742367793,2.53693303830944,2.35369943472842,1.97971713434867,1.76060815066798,2.80018036771191,96392.0,3.11388683532605,76399.0,2.48439186396541,172791.0,1.4231957716329,1.21596964579718,0.921720840614575,0.737604136891783,0.496160882887909,0.367834638794287,0.272809340190663,0.162983442482161,2.12724252738267,3095568.0,50.1653694937404,3075159.0,49.8346305062596,6170727.0,1.053,6601609,0.0,132955.0,309578.0
1966,87.5147537079622,5.3075543449949,82.2071993629673,16.2218210014904,16.7724079213057,43.8403900159226,1370780.0,43.3666233352495,1390827.0,44.3175666224073,2761607.0,14.5158876766145,14.7674982896906,12.6289146571445,12.7776604114111,10.3073040065374,10.3973908341435,53.3291370532589,1690612.0,53.4849943481448,1668713.0,53.1721579787409,3359325.0,8.38410722991393,8.50008651122686,7.29192140615247,7.32950835813162,6.25698177328104,6.25645050331053,5.32908413370964,5.31789131831957,4.49497280687296,4.49514246630603,3.76526182816399,3.72640338575946,3.12565151353614,3.02022960685029,2.54162647516901,2.36159717250084,1.98808317480826,1.76745782219218,2.83047293081853,99517.0,3.14838231660576,78781.0,2.51027539885181,178298.0,1.43392296329948,1.22458792456221,0.930507648274594,0.744840951578886,0.504838956135719,0.373607416194838,0.279112748895966,0.167239106515873,2.06107445284486,3160909.0,50.1792917547065,3138321.0,49.8207082452935,6299230.0,1.053,6779482,0.0,133284.0,312406.0
1967,87.035572133222,5.35633833806565,81.6792337951564,16.122524296494,16.6934843873999,43.6704240314494,1392633.0,43.17138357298,1413822.0,44.1733945298098,2806456.0,14.287660631364,14.5582574626166,12.761198645122,12.9216526797933,10.5159749031682,10.6049921577694,53.4657689075555,1730398.0,53.642036743773,1705550.0,53.2881129281202,3435948.0,8.36931507919446,8.47326455499247,7.24566471434986,7.28051127594029,6.24460312561854,6.24208747055258,5.32342806515728,5.30236329211215,4.49756194189673,4.48661509332567,3.77067823414503,3.72734032781149,3.1311985102728,3.02555442383038,2.54778195534755,2.37104061088164,1.99583021462258,1.77434372090408,2.86380706099507,102793.0,3.18657968324697,81247.0,2.53849254206997,184041.0,1.44690095604985,1.23387031262693,0.939511452184875,0.753416525548175,0.513604967162669,0.378614143509695,0.286562307849572,0.172591560385175,1.99941045126724,3225825.0,50.1961037556534,3200620.0,49.8038962443466,6426445.0,1.053,6959721,0.0,133693.0,315049.0
1968,86.5192355257874,5.40478384137846,81.1144516844089,16.0634585586032,16.65776991451,43.4885148798445,1413725.0,42.961445997685,1436125.0,44.0201488064176,2849850.0,14.0417657975563,14.3324914752869,12.8562216415255,13.0298874166207,10.7103905177132,10.8123508682878,53.6137767879508,1770805.0,53.8127039280295,1742564.0,53.4131267018583,3513369.0,8.39049218657646,8.46944751092477,7.19482855079022,7.22595589509833,6.23049986887221,6.22426283013579,5.31575055999013,5.28624936071357,4.49924833233709,4.47565638643507,3.77637408404274,3.72716442807217,3.13754013984331,3.02990734044123,2.55475838906391,2.38097318054522,2.00282129880028,1.78115890120436,2.89770833220473,106153.0,3.22585007428549,83738.0,2.56672449172418,189890.0,1.46060863352684,1.24297053129013,0.948541685722994,0.76243863271709,0.522156038731169,0.383104416298727,0.294543716304488,0.178210911418234,1.95180853037603,3290683.0,50.2155999541592,3262427.0,49.7844153057732,6553109.0,1.053,7142389,0.0,134183.0,318163.0
1969,85.9247962670909,5.45189765674449,80.4728986103464,16.0049589153565,16.6214945209063,43.2825057622279,1433751.0,42.7274481478198,1457394.0,43.8428126651275,2891145.0,13.8452380331523,14.1561768465816,12.877251199311,13.0651412976396,10.843976698462,10.9614213981349,53.7851879153999,1812213.0,54.0060600687364,1780481.0,53.5622269308817,3592694.0,8.49744715693075,8.55205812157777,7.14827350623478,7.17645234377479,6.21014744875874,6.1994013180269,5.30581592261827,5.26971599081927,4.50017098423592,4.4632506707383,3.78248421096549,3.72614172918041,3.14484339110539,3.03417234345591,2.56246884846029,2.39068172762512,2.01043190096474,1.7889312875483,2.93230632237218,109610.0,3.26649178344381,86260.0,2.59496040399075,195870.0,1.47401076865423,1.25191948402825,0.95876337048298,0.771403572447633,0.53075890924723,0.38802569871174,0.302958735059368,0.183611648803125,1.91346804963288,3355573.0,50.2353246579042,3324135.0,49.7646753420958,6679708.0,1.053,7327872,0.0,134824.0,321809.0
1970,87.2802079462792,5.61458862297565,81.6656193233036,16.1090082329566,16.8404992619344,43.606113117265,1450181.0,42.9061258327375,1475146.0,44.31687958437,2925327.0,13.8526784069844,14.2599958811927,12.9444391927966,13.2163844412429,10.9323183895104,11.0866516244579,53.3959253338103,1816582.0,53.7467400950593,1765497.0,53.0397083367694,3582079.0,8.50942996247069,8.4989230565636,6.95443921794531,6.92607041297878,6.07955906276873,6.0205036090636,5.23883680881472,5.16606889884392,4.47644547169635,4.40545647335461,3.7845741497915,3.70381719705699,3.15903631817767,3.03328678269927,2.58136984574801,2.39922779122424,2.03073086813586,1.79970249052652,2.99796154892469,113130.0,3.3471340722032,87989.0,2.64341207886059,201119.0,1.5027849266759,1.27014584213011,0.982324432603828,0.78697459482998,0.546348899069689,0.396348832035729,0.315675813853788,0.189942809864769,0.430483163865176,3379892.0,50.3820437428496,3328633.0,49.6179562571504,6708525.0,1.053,7394265,-26.37,180289.0,321091.0
1971,89.5231272972836,5.81620485847445,83.7069224388091,16.2906261601524,17.2212545161717,44.1671281138726,1465620.0,43.2175886404363,1491954.0,45.1414298106513,2957574.0,13.9413940022829,14.5154092186331,12.9855684780009,13.4047660758466,11.0665750192333,11.2848393088552,52.7640015626484,1809015.0,53.3434947572537,1724234.0,52.1693962633738,3533249.0,8.49484424212025,8.37377880690467,6.70738018380795,6.56337677874609,5.89200405631304,5.74129056990373,5.1419724308715,5.00377148178842,4.43462409366203,4.31225751248008,3.77874634685605,3.65950221281444,3.17147889410918,3.02175417321343,2.6014247814306,2.40063212031708,2.05444470884985,1.80819329835068,3.06887032347897,116623.0,3.43891660231,88879.0,2.68917392597487,205501.0,1.53390026176135,1.28620690594169,1.01080513803584,0.802827900311854,0.564200825829479,0.404515248858798,0.330010376683336,0.195623870862527,-0.182038654360275,3391257.0,50.643562049865,3305067.0,49.356437950135,6696324.0,1.053,7415526,-5.12,190185.0,324905.0
1972,90.1390181141409,5.90032431284092,84.2386938013,16.3612533507158,17.4685365874572,44.3037354520524,1484984.0,43.1361741361341,1512736.0,45.5130310224186,2997719.0,13.922158819572,14.6444752096395,12.8527619658462,13.4000192253218,11.2565605475944,11.54131571303,52.5931014332154,1837408.0,53.3734751120391,1721194.0,51.7848334474868,3558601.0,8.65154240405653,8.44026227671436,6.60253684189734,6.33979808598232,5.77216352538875,5.53450080278505,5.08096038167079,4.88201323719068,4.40017103610465,4.23250424258325,3.76612032715303,3.61245000551337,3.17127023355956,3.00112087537494,2.60713866589514,2.39207832498406,2.06501114871891,1.80878988332877,3.10316311473223,120157.0,3.49035075182684,89812.0,2.70213553009462,209969.0,1.54546864706026,1.28577989593956,1.02858406041107,0.809178451452979,0.575344192731663,0.408455350694391,0.340953851623855,0.198721832007694,1.03940639008268,3442548.0,50.8779332363723,3323742.0,49.1220815427777,6766289.0,1.053,7508549,-5.35,202996.0,332462.0
1973,90.1260087427843,5.95039281487966,84.1756159279046,16.3269972163814,17.5899706445151,44.2735901008127,1502361.0,42.9099125499329,1531425.0,45.6983211049897,3033786.0,13.9087249564292,14.7708444457707,12.6741903771223,13.3375060147039,11.4279883628404,11.7898788853122,52.5966927747015,1875154.0,53.5574823246215,1728961.0,51.5928875427557,3604115.0,8.85902482521697,8.59266000977273,6.58113308644641,6.19043391658865,5.67671408472186,5.35351538458669,5.03282019468765,4.77244836679809,4.37070397046954,4.15879564181086,3.75408645840652,3.56595658969089,3.17032912734441,2.97883197248716,2.61139187215347,2.38253143498711,2.07329034233425,1.80783534072132,3.12971712448579,123683.0,3.53260512544563,90776.0,2.70879135225463,214459.0,1.55239720804136,1.28228637077432,1.04414260490266,0.813449064317233,0.585014043764449,0.411886919837519,0.351051268737158,0.201168997325555,1.26403354721233,3501198.0,51.0947761063342,3351162.0,48.9052238936658,6852360.0,1.054,7593611,-5.57,217075.0,340151.0
1974,89.5509910878181,5.99623552507297,83.5547555627451,16.030761722811,17.4157847411614,44.0803620963523,1508800.0,42.5372754567198,1538656.0,45.7062330327058,3047455.0,13.9326679927618,14.9362093605549,12.573845741147,13.3542389309895,11.5615129438057,12.015168712718,52.7562489617097,1911160.0,53.8809426712194,1736095.0,51.5712171121521,3647255.0,9.05670994871589,8.76734009564511,6.6697810307878,6.1468724926873,5.60434710349335,5.19492170129364,4.99400127797941,4.66919735991205,4.35241783526978,4.095053384874,3.75227780165551,3.52796441780737,3.17889273078375,2.96332613772029,2.62376249487067,2.38007748923703,2.08723950385755,1.81129532025726,3.16338894193797,127046.0,3.58178187206081,91652.0,2.72254985514212,218698.0,1.56314953557303,1.28291235481908,1.06134597197552,0.819613694498252,0.596122560283597,0.416230617665205,0.361163804228665,0.203793188159587,0.886959597439525,3547006.0,51.3061864712744,3366403.0,48.6938279933717,6913408.0,1.054,7669791,-5.79,232173.0,348155.0
1975,88.609883070609,5.64084090482211,82.9690421657869,14.9924026793931,16.7958342090915,43.9897680153123,1465308.0,41.8119003288605,1494289.0,46.357577680072,2959597.0,14.0712079383083,15.6120056555234,12.7482897111591,13.9497378154571,11.8282506188428,12.3900946129046,53.0194870704887,1920170.0,54.7911771210078,1646940.0,51.093279683936,3567110.0,9.39613785035062,8.78152632432085,6.92634522510183,6.02662253104062,5.62214565454662,4.97216058522103,5.01170629400561,4.5041916176953,4.37010721852462,3.99198361356302,3.76440459120708,3.45083099431578,3.18867749552364,2.90353578793804,2.62138235566874,2.32056393913565,2.06201981723629,1.75176967780114,2.990744914199,119046.0,3.39692255013162,82169.0,2.54914263599199,201215.0,1.5133291958254,1.22096328485705,1.0039734343456,0.764969259919076,0.547649110792475,0.378699803545793,0.331970809168147,0.184510287670075,-2.71963851984927,3504525.0,52.0892632227306,3223398.0,47.9107516406998,6727922.0,1.054,7559049,-6.16,494735.0,248243.0
1976,87.5555563485451,5.24473340981717,82.3108229387279,13.7169091766527,15.9083124343395,43.8861055712975,1375827.0,41.0909499806914,1392123.0,47.0490891046579,2767950.0,14.3244808402725,16.4567135240106,13.0495599637661,14.6840631463078,12.099570312465,12.826397334527,53.3175316188217,1865663.0,55.7205755728296,1497139.0,50.5982595747133,3362802.0,9.82494720371585,8.90392613813124,7.21401378094268,5.89200386836278,5.63556093681261,4.70221024920117,4.99229895524434,4.26674061370295,4.36707626408685,3.85357675697296,3.75799634853701,3.35887851951815,3.18369582650264,2.83810617854863,2.61036596165098,2.26253259474168,2.03504998287163,1.69388732100669,2.79636280988086,106758.0,3.18847444647901,69612.0,2.35265132062884,176370.0,1.46515475112798,1.16125236132861,0.939685751977079,0.701516742261289,0.489629349328171,0.331088729853192,0.29400459404578,0.158793487185753,-6.45868581812627,3348247.0,53.0867644545325,2958874.0,46.9132196903754,6307122.0,1.054,7287408,-6.68,447726.0,246192.0
