Year,Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Population ages 00-04, female (% of female population)","Population ages 00-04, male (% of male population)",Population ages 0-14 (% of total population),"Population ages 0-14, female","Population ages 0-14, female (% of female population)","Population ages 0-14, male","Population ages 0-14, male (% of male population)","Population ages 0-14, total","Population ages 05-09, female (% of female population)","Population ages 05-09, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 15-19, male (% of male population)",Population ages 15-64 (% of total population),"Population ages 15-64, female","Population ages 15-64, female (% of female population)","Population ages 15-64, male","Population ages 15-64, male (% of male population)","Population ages 15-64, total","Population ages 20-24, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 25-29, female (% of female population)","Population ages 25-29, male (% of male population)","Population ages 30-34, female (% of female population)","Population ages 30-34, male (% of male population)","Population ages 35-39, female (% of female population)","Population ages 35-39, male (% of male population)","Population ages 40-44, female (% of female population)","Population ages 40-44, male (% of male population)","Population ages 45-49, female (% of female population)","Population ages 45-49, male (% of male population)","Population ages 50-54, female (% of female population)","Population ages 50-54, male (% of male population)","Population ages 55-59, female (% of female population)","Population ages 55-59, male (% of male population)","Population ages 60-64, female (% of female population)","Population ages 60-64, male (% of male population)",Population ages 65 and above (% of total population),"Population ages 65 and above, female","Population ages 65 and above, female (% of female population)","Population ages 65 and above, male","Population ages 65 and above, male (% of male population)","Population ages 65 and above, total","Population ages 65-69, female (% of female population)","Population ages 65-69, male (% of male population)","Population ages 70-74, female (% of female population)","Population ages 70-74, male (% of male population)","Population ages 75-79, female (% of female population)","Population ages 75-79, male (% of male population)","Population ages 80 and above, female (% of female population)","Population ages 80 and above, male (% of male population)",Population growth (annual %),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Researchers in R&D (per million people),Sex ratio at birth (male births per female births),Technicians in R&D (per million people),POP,NMR,DEATHS,BIRTHS
1960,57.576274838089,9.57700409673081,47.9992707413581,9.80461680656231,12.5634248547246,30.4609759569657,17932697.0,27.0960943348457,18589100.0,34.6068099887899,36521796.0,9.43698345958597,12.0375463060022,7.85449406869747,10.0058388280631,5.16324996182244,6.3930851691903,63.4613301972993,43126620.0,65.1638171972997,32961611.0,61.3637144901253,76088231.0,9.28389645412162,11.5430103760417,7.42332323702601,9.05983720331004,9.27167872545139,10.3733330370515,6.87399826918285,5.4652510036144,5.20077919302197,4.02570333354747,6.91947923698008,5.05224353906392,5.97164146402675,4.23817806492428,5.19759274886352,3.02325311738164,3.85817790680305,2.1898196460001,6.07769384573504,5122534.0,7.74008846785461,2164439.0,4.02947552108479,7286973.0,2.95302955868762,1.69284162774021,2.23251265147695,1.14776192673981,1.44293039929913,0.700798249690069,1.11161585839091,0.48807371691469,,66181851.0,55.1989214189875,53715149.0,44.8010785810125,119897000.0,,1.053,,119631633,,,
1961,58.8097458694317,9.8495471657387,48.960198703693,9.67409137783599,12.3459524662465,30.8294674433819,18336334.0,27.4613702558996,19040080.0,34.9586148096294,37376413.0,9.43795345247002,11.9863694142772,8.34932542559356,10.6262929291057,4.61040128656678,5.757183635164,62.9684274132988,43137751.0,64.6051596594694,33202651.0,60.9618616085336,76340403.0,9.18940724725945,11.331467150005,7.24882152186453,8.8008971819451,9.03981097958987,10.4751369564527,7.48923362630677,6.21664231219135,5.09125764900275,3.94517473646206,6.5452143278349,4.75471100550752,6.1466553542995,4.33297531787096,5.20496531891765,3.17576509418729,4.03939234782713,2.17190821874758,6.20210514331936,5297287.0,7.93347008463106,2221897.0,4.07952358183699,7519184.0,3.03464770247209,1.71715872754041,2.24202377503886,1.14465117253777,1.49692877875435,0.714832772933804,1.15986982836576,0.502880908825011,1.11060183638626,66771372.0,55.0755323877284,54464628.0,44.9244676122716,121236000.0,,1.053,,121324346,,,
1962,58.8613990113016,9.97923946350874,48.8821595477928,9.4737880396111,12.0396390478621,30.7703194863227,18489070.0,27.441016943239,19232572.0,34.8330950142371,37721642.0,9.41301491376253,11.9035226831375,8.55421398986536,10.8899332832375,4.79071506893972,6.02118514934388,62.9479534305462,43448934.0,64.4858249465011,33719591.0,61.0712760546562,77168526.0,8.51569816742947,10.4154489012144,7.42953998456984,9.00966850147594,8.65353698430429,10.1577313609247,8.03517518415472,7.15190583051783,5.27429480477813,4.0317651696552,5.99893981755273,4.35874304007473,6.29352712957086,4.39376609340325,5.30717820905193,3.3560687083718,4.1872195961494,2.17499329967452,6.28172708313112,5439492.0,8.07315811025991,2261340.0,4.09562893110675,7700832.0,3.08356168989627,1.71662998113902,2.27155054410307,1.14731501696076,1.51990915124143,0.719619562771903,1.19813672501914,0.512064370235067,1.11145521122451,67377496.0,54.9612090442792,55213503.0,45.0387901421479,122591000.0,,1.052,,122877560,,,
1963,58.5489319338922,10.0858327077263,48.4630992261658,9.16748027070886,11.6107572628896,30.5666512849688,18555915.0,27.2901517749764,19334506.0,34.5474420304326,37890421.0,9.42587319041692,11.8678929236807,8.69679831385058,11.0687918438623,5.51937041432585,6.93347515849266,63.0720115014583,43848298.0,64.4876156828133,34335767.0,61.3521198893302,78184065.0,7.25771322643947,8.8191860000039,7.8684568589809,9.54538558880116,8.09420460210699,9.53037202707341,8.43899093810549,8.10208494520068,5.54850966477366,4.16307586149214,5.55204053889621,4.05336569223472,6.43941627195708,4.47203019629236,5.36034239734598,3.46662525166615,4.40857076988164,2.26651916807306,6.3613372135729,5590700.0,8.22223254221037,2294814.0,4.10043808023714,7885514.0,3.13386210790412,1.69582463318337,2.27046946310087,1.15094761195888,1.57586463509131,0.731702748737012,1.24203633611406,0.52196308635788,1.11053215737069,67994913.0,54.8523012878164,55965087.0,45.1476987121836,123960000.0,,1.056,,124276517,,,
1964,57.722752480662,10.2244886326245,47.4982638480375,8.74842636690451,11.0490128629071,30.1150358702095,18484576.0,26.9326353953653,19263116.0,33.9663386469441,37747692.0,9.40337058241596,11.7958237071976,8.78083844604486,11.1215020768394,6.49619249098902,8.17562231262651,63.4023934058755,44364346.0,64.6403128722532,35107384.0,61.9042781573641,79471730.0,5.91299717673808,7.17430561280917,8.43957292607116,10.1998756579919,7.39425060342628,8.75543555637673,8.68129808760286,8.87709490043099,5.90671910236339,4.42110969315531,5.20291281095366,3.82034100062048,6.56250223930852,4.53456593697881,5.43545717169174,3.55296910939651,4.60841026310848,2.39295837697767,6.48257072391498,5783707.0,8.4270517323815,2341871.0,4.12938319569184,8125578.0,3.20696287894999,1.68375506342927,2.28179347653528,1.17106834937152,1.63551520291674,0.736400098370224,1.30278017397949,0.538159684520821,1.11110025764706,68632629.0,54.7549797644206,56712371.0,45.2450202355794,125345000.0,,1.052,,125521510,,,
1965,56.6657929706261,10.429389363104,46.2364036075221,8.22507031319194,10.3554213662242,29.5127625455153,18330408.0,26.45326332575,19075543.0,33.2028980406545,37405951.0,9.34384162899401,11.6898965843317,8.88435138356405,11.1575800900986,7.39955301965332,9.36228634963043,63.8301432365748,44923890.0,64.8312616885523,35977626.0,62.6226702257583,80901515.0,4.87183644901322,5.92209681167479,8.7553757021054,10.5323275771605,6.92724247948335,8.21155123258166,8.72699436673254,9.41349558296909,6.46659675063447,4.92391077273024,4.8454947553172,3.59125681993829,6.53257651798233,4.47832822120944,5.58937790501971,3.66835908786041,4.71621374261072,2.51905777000348,6.65709421790989,6039263.0,8.71547498569773,2398271.0,4.17443173358723,8437534.0,3.34826897549956,1.68979736158783,2.36501842757287,1.20754951910873,1.63653207633909,0.723688107119164,1.3656555062862,0.553396745771512,1.11072584654368,69293561.0,54.6716330246737,57451440.0,45.3283677664618,126745000.0,,1.051,,126541293,,,
1966,55.6246249268045,10.6597361853234,44.9648887414811,7.70230982558292,9.66599258406478,28.8931712256534,18061503.0,25.9530851929102,18768045.0,32.4285269025675,36829547.0,9.29444287329309,11.5979046814973,8.95633249403418,11.1646296370055,7.91849056258439,10.0628196561836,64.2571826578229,45237531.0,65.0030896991636,36669816.0,63.360254246992,81907346.0,4.37797252380402,5.36795642998776,8.72741971151013,10.4443169694444,6.80361245334056,8.03499707817564,8.55521514462606,9.5863444515149,7.09138747446297,5.63523752354009,4.76620746336148,3.54221069864217,6.20706968033328,4.24434393320987,5.76755259098493,3.77631566790289,4.7881620941558,2.66571183839071,6.84964611652376,6293860.0,9.04382510792616,2437247.0,4.21121885044042,8731107.0,3.52414847152178,1.69414684545572,2.45516241854705,1.22871996755766,1.63982515923708,0.723624310727499,1.42468905862024,0.564727726699537,0.568815874401956,69592893.0,54.5963638428435,57875108.0,45.4036369427398,127468000.0,,1.051,,127414772,,,
1967,54.5067394399243,10.8847307843361,43.6220086555882,7.2354341566176,9.05282762342242,28.2330778673879,17755695.0,25.3993392845112,18437981.0,31.6315363002094,36193677.0,9.15574639516902,11.394735223445,9.00815873272462,11.183973453342,8.1494033750316,10.3804077251093,64.7220959121178,45604348.0,65.2365502574496,37366790.0,64.1051188491101,82971138.0,4.56673845601776,5.64326518962559,8.13674738048718,9.68489748882395,7.0144005006114,8.27940701527415,8.21793311985024,9.34995533423651,7.65090548620222,6.53463973860542,4.97037185370369,3.64824878225131,5.67936234285584,3.90083433143265,5.94739416307364,3.85660718287141,4.90329357961604,2.82685606087982,7.04482622049434,6546087.0,9.36411045803914,2485098.0,4.26334485068046,9031185.0,3.68781567117592,1.72165630405275,2.5365574697132,1.23599884919802,1.65078171038949,0.728008083424251,1.48895560676054,0.577681614005437,0.569499004627627,69906130.0,54.5306636917009,58289869.0,45.4693355277304,128196000.0,,1.05,,128183863,,,
1968,53.510171745577,11.1632809308178,42.3468908147592,6.83659453799911,8.52861519050425,27.5857234053591,17448091.0,24.8464859320488,18117630.0,30.8624621029806,35565721.0,8.90485276746039,11.0616112894077,9.10503862658926,11.2722356230687,8.32216993276449,10.5997148338369,65.1422629825333,45958774.0,65.4463579926729,38027843.0,64.7784975561375,83986617.0,5.27027424732291,6.52308988724968,6.96939452693963,8.2631382925982,7.48333684761625,8.83380903080056,7.70253332648292,8.80500992152117,8.06969667450973,7.44869163988581,5.25255128744965,3.78186050105284,5.2638031686124,3.6425762962864,6.1083676584593,3.94460253291,5.00423032251569,2.93600461999599,7.27201361210758,6816712.0,9.70715607527829,2558949.0,4.35904034088189,9375662.0,3.89610387759493,1.80775891733284,2.60139003131786,1.22801754654673,1.65385337024482,0.731572388915992,1.55580879612069,0.591691488086332,0.5693766257186,70223577.0,54.467281859495,58704423.0,45.532718140505,128928000.0,,1.049,,128876498,,,
1969,52.4415065501211,11.4313588981587,41.0101476519624,6.5670747697611,8.15259424609325,26.9022185123191,17117273.0,24.2635126855155,17765219.0,30.0511436583639,34882493.0,8.54595076817697,10.5995150230781,9.15048714757748,11.2990343891926,8.42942318580589,10.6525978031824,65.5989322281067,46351252.0,65.7022966500433,38706947.0,65.4755812944268,85058199.0,6.22122078037676,7.75492861802886,5.69551490982528,6.7750843724607,8.09082089921441,9.4952522684235,7.04176606797395,8.10461842969217,8.31601402015745,8.18802624169682,5.6178852114211,4.02830521505179,4.93193289028112,3.44402029261767,6.23812722624987,4.00952547820998,5.1195914587375,3.02322257506288,7.49884925957426,7078859.0,10.0341906644411,2644449.0,4.47327504720935,9723308.0,4.08298048703609,1.91635636992345,2.68238839806472,1.22032041039459,1.66288116851517,0.740541920160084,1.60594061082516,0.596056346731228,0.569238017722672,70547384.0,54.4078419358549,59116615.0,45.5921572918814,129664000.0,,1.049,,129572617,,,
