Year,Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Population ages 00-04, female (% of female population)","Population ages 00-04, male (% of male population)",Population ages 0-14 (% of total population),"Population ages 0-14, female","Population ages 0-14, female (% of female population)","Population ages 0-14, male","Population ages 0-14, male (% of male population)","Population ages 0-14, total","Population ages 05-09, female (% of female population)","Population ages 05-09, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 15-19, male (% of male population)",Population ages 15-64 (% of total population),"Population ages 15-64, female","Population ages 15-64, female (% of female population)","Population ages 15-64, male","Population ages 15-64, male (% of male population)","Population ages 15-64, total","Population ages 20-24, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 25-29, female (% of female population)","Population ages 25-29, male (% of male population)","Population ages 30-34, female (% of female population)","Population ages 30-34, male (% of male population)","Population ages 35-39, female (% of female population)","Population ages 35-39, male (% of male population)","Population ages 40-44, female (% of female population)","Population ages 40-44, male (% of male population)","Population ages 45-49, female (% of female population)","Population ages 45-49, male (% of male population)","Population ages 50-54, female (% of female population)","Population ages 50-54, male (% of male population)","Population ages 55-59, female (% of female population)","Population ages 55-59, male (% of male population)","Population ages 60-64, female (% of female population)","Population ages 60-64, male (% of male population)",Population ages 65 and above (% of total population),"Population ages 65 and above, female","Population ages 65 and above, female (% of female population)","Population ages 65 and above, male","Population ages 65 and above, male (% of male population)","Population ages 65 and above, total","Population ages 65-69, female (% of female population)","Population ages 65-69, male (% of male population)","Population ages 70-74, female (% of female population)","Population ages 70-74, male (% of male population)","Population ages 75-79, female (% of female population)","Population ages 75-79, male (% of male population)","Population ages 80 and above, female (% of female population)","Population ages 80 and above, male (% of male population)",Population growth (annual %),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Sex ratio at birth (male births per female births),POP,NMR,DEATHS,BIRTHS
1960,105.663265942886,6.40689981293015,99.256366129956,20.071172784393,20.5610243656419,48.2616000511098,716324.0,47.8531759034631,715193.0,48.6777186315928,1431517.0,15.8324707290735,16.0238858022612,11.9495323899967,12.0928084636898,8.50332399081982,8.78232366235356,48.6231616181385,731454.0,48.8639176228798,710787.0,48.3778699342041,1442242.0,7.40650555590628,7.74648270773821,7.31872534312945,7.71398293404554,6.52813559571133,6.92510622831789,5.06660173335859,5.07898295786736,3.62841580431292,3.26586992875913,3.34563525584692,2.7047298571167,2.86935745752697,2.42795429749102,2.2329843168024,2.01604093542176,1.96423256946511,1.71639642509296,3.11523833075171,49142.0,3.28290647365708,43260.0,2.9444114342031,92403.0,1.46236891003898,1.2696691693194,1.06274848931523,0.945590274161965,0.496285540882098,0.51788644613103,0.26150353342078,0.21126554459071,,1496920.0,50.4665625141176,1469241.0,49.5334037722822,2966162.0,1.025,3031804,,,
1961,107.77062853129,6.47101145357025,101.29961707772,20.0111470206122,20.4892575470033,48.7555035786801,743345.0,48.3717248306229,742067.0,49.1460974269837,1485412.0,15.9356843590642,16.1195572879499,12.4248934509464,12.5372825920305,8.66529557662405,8.91888016620743,48.1300141072797,742779.0,48.3348934607074,723576.0,47.9214965291219,1466355.0,7.14173928010289,7.45737937858318,7.0256163479224,7.39184612699808,6.42626063660355,6.83483004568784,5.17552327713296,5.26762832877625,3.65580629302348,3.37057480840879,3.24428406096438,2.63772165488183,2.86510315549183,2.38002596825462,2.21658472337591,1.97897836343039,1.91868010946596,1.6836316878935,3.11448231404026,50611.0,3.29338170866972,44277.0,2.93240604389436,94888.0,1.4510974088871,1.25423821982681,1.054867353383,0.924022158782532,0.521658439801046,0.529961676790268,0.265758506598574,0.224183988494758,2.67750780003869,1536734.0,50.4400565341519,1509920.0,49.5599434658481,3046654.0,1.025,3045908,,,
1962,109.660098204596,6.53674345392227,103.123354750674,19.9193723354545,20.3830119281854,49.1859626949414,768480.0,48.8225889605982,767166.0,49.5554222019536,1535647.0,16.0597144074222,16.2393466046723,12.8435022177214,12.9330636690959,8.92282240662556,9.1512294441308,47.6962554492159,753463.0,47.8685701089341,735672.0,47.5210548686194,1489136.0,6.9207900380267,7.21650050578193,6.6862004459267,7.02836642124723,6.30066031331767,6.70086777452073,5.24394299838217,5.4140629340003,3.73319873153262,3.51608877474165,3.12364698030623,2.57351278795012,2.85443279032011,2.32562796412113,2.22270859017214,1.95210509928958,1.86016681432416,1.64269316283594,3.11778185584267,52082.0,3.30884093046777,45259.0,2.92352292942695,97341.0,1.453978985728,1.25069601536854,1.03263892484588,0.896261089414236,0.552278219126691,0.537239890497888,0.269944800767205,0.239325934146288,2.44696001938284,1574025.0,50.4151981151293,1548098.0,49.5847698553933,3122124.0,1.025,3051242,,,
1963,111.296822911322,6.58981888244077,104.707004028881,19.7714119812723,20.2223803824086,49.5544698643394,791332.0,49.1960968016079,790105.0,49.9186717576978,1581437.0,16.1872010852165,16.3671468650008,13.2374837351192,13.3291445102884,9.23521955180112,9.41828114836931,47.3267800171748,763769.0,47.4825103961575,746576.0,47.1685167301782,1510345.0,6.77361959109173,7.05118545903467,6.32979738605569,6.65138346463683,6.15619134773616,6.53099428949064,5.26568717839365,5.50308996776881,3.84320561606986,3.69087117726461,3.00713012588536,2.52738293013542,2.82252023124262,2.25927930130684,2.24873440110113,1.93699896416661,1.80040496678017,1.59905002800446,3.11875011848581,53425.0,3.32139280223459,46104.0,2.91281151212405,99529.0,1.4603733726571,1.25194001580128,1.00486345582014,0.866827332986476,0.580531131898936,0.539113530056385,0.275624841858421,0.254930633279915,2.19182647239121,1608527.0,50.4033295407436,1582784.0,49.5966704592564,3191311.0,1.025,3129004,,,
1964,111.933555637089,6.59443418066347,105.339121456425,19.5479886928769,19.982544920887,49.7038429483644,811602.0,49.3486973034007,810553.0,50.0646072638083,1622154.0,16.2867628951732,16.4685521363942,13.5139457153506,13.6135102065271,9.65653610210704,9.79195349265262,47.1846006299714,778370.0,47.3280567569425,761565.0,47.0388749194725,1539935.0,6.73541781814356,6.99398337135032,6.00744120095316,6.30915255158544,5.97624871779437,6.32394551495263,5.25936884168872,5.54519945176475,3.96138455710626,3.87578728521636,2.93428236311334,2.52740404184525,2.76491265192655,2.18864826903799,2.27753770307796,1.92212786432228,1.75492680103148,1.56067307674491,3.11155642166415,54655.0,3.32324593965683,46895.0,2.8965178167192,101550.0,1.45604444047191,1.24699431073129,0.983414476352388,0.84406363630187,0.59831195766578,0.535665865561302,0.285475065166752,0.269794004124735,2.24113327435576,1644627.0,50.392414604552,1619013.0,49.607585395448,3263640.0,1.024,3183993,,,
1965,111.236979955187,6.5364536022124,104.700526352974,19.258958209941,19.6673041752147,49.5654269512785,830310.0,49.2270970472991,829453.0,49.9087962641217,1659763.0,16.3256443229444,16.5055746647665,13.6424945144137,13.7359174241405,10.1621634761038,10.2654520609517,47.3401895669918,800536.0,47.461867690208,784712.0,47.216699053545,1585248.0,6.82803568877087,7.06566458385795,5.76219264560889,6.04610218729514,5.77790386276578,6.10416691111013,5.2249283064553,5.54030729777305,4.07344430788531,4.05682881767286,2.91775088886952,2.58198483277209,2.69829779337437,2.13133638819968,2.2892132711762,1.89579818988488,1.72793744919793,1.52905778402751,3.09438348172978,55847.0,3.31103526249294,47772.0,2.87450468233331,103619.0,1.43704278134788,1.23268700977804,0.970538207012183,0.829663672873575,0.604496491062689,0.528479242763797,0.298957783070185,0.2836747569179,2.57084686962757,1686693.0,50.3696286631761,1661938.0,49.6303713368239,3348631.0,1.024,3264640,,,
1966,109.855405388937,6.43351572687278,103.421889662064,18.9499087614394,19.3296082198486,49.2824447473527,848988.0,48.9635887782338,848310.0,49.6057404679071,1697298.0,16.2872653577221,16.4617425426341,13.7264146590723,13.8143897054244,10.6134899268477,10.6858382046243,47.6518650222901,828013.0,47.7538992661698,813127.0,47.5484100533038,1641140.0,7.04613141582407,7.25885464894104,5.60298192069281,5.86750692720825,5.57163668828248,5.87613213110661,5.16486957845709,5.49393326548173,4.18079653224262,4.23427340259031,2.95028709579934,2.68235069845147,2.61889849335262,2.08420011759515,2.28794243781129,1.86178680893478,1.71686517685978,1.50353384837008,3.06569023035722,56916.0,3.28251195559646,48667.0,2.84584947878916,105583.0,1.40332634337534,1.21030615380522,0.964348907328844,0.82158721879277,0.59976953900881,0.517278330066964,0.315067165883468,0.296677776124208,2.80880785102243,1733916.0,50.3456860454684,1710104.0,49.654284918704,3444021.0,1.024,3358202,,,
1967,108.050185808237,6.29714078051182,101.753045027725,18.677786309481,19.0284816300235,48.9079396713951,868248.0,48.6100399826778,867720.0,49.2096974330124,1735968.0,16.1591267467403,16.3240254702514,13.7731269264566,13.8571903327375,10.9809178800083,11.0273734880724,48.0653186589906,860028.0,48.1498598800716,846031.0,47.979682551925,1706060.0,7.36629681126737,7.54846561470687,5.52742395159193,5.77180895950348,5.361536288836,5.64647663034108,5.10310312944304,5.4285344851053,4.26154376301858,4.38490182111844,3.02796771936936,2.82252942190605,2.5231944600351,2.04260505231065,2.27808606059351,1.82259293874255,1.71978981590836,1.48439414011814,3.0267416696143,57873.0,3.24010013725063,49560.0,2.81062001506256,107433.0,1.35688605958575,1.18039235257289,0.964533464042883,0.819764171059914,0.585533621644561,0.501811364069433,0.333146991977431,0.308652127360331,3.01560768660481,1786149.0,50.3216967308558,1763312.0,49.6783032691442,3549461.0,1.023,3451079,,,
1968,106.136163165684,6.14601399042275,99.9901491752608,18.4963434695506,18.8189110488435,48.5068582554389,888366.0,48.2306953108458,887960.0,48.7863304214054,1776326.0,15.9461917248943,16.0978792374045,13.7881601164009,13.8695401351574,11.2887437496946,11.3308059996703,48.5116233980792,894781.0,48.5789479399102,881720.0,48.4434921158178,1776501.0,7.71986687731757,7.85308499532993,5.52738733162858,5.75215647491896,5.15315623456086,5.42200977968244,5.03363356515791,5.34190429097302,4.30574783784224,4.4912092742157,3.13307924925756,2.98785781001044,2.43179634184081,2.01722432833361,2.24945844259492,1.7739135212351,1.73607831001515,1.47332564144827,2.98151834648185,58763.0,3.19035674924399,50420.0,2.77017746277677,109184.0,1.30845155300748,1.1475743091039,0.964786553088913,0.819515411241141,0.567671601761215,0.485165650238998,0.349447041386387,0.317922092192737,3.12164160228976,1841910.0,50.2977872807556,1820100.0,49.7022127192443,3662010.0,1.023,3547932,,,
1969,104.380913738538,5.99994590061944,98.3809678379182,18.4279949381364,18.7243173495278,48.1360837655203,909423.0,47.8819702306191,909101.0,48.3930003457401,1818523.0,15.6732175872117,15.8082560829904,13.780757705271,13.8604269132219,11.4742769772345,11.5183901018776,48.9282478343007,930218.0,48.9768470023569,918233.0,48.8791125843291,1848450.0,8.12865052159993,8.21248619634473,5.59466498323988,5.79909223915849,4.96206366501773,5.21519329642067,4.9272087276342,5.2165507057597,4.32101186726376,4.55173952006797,3.24016657711615,3.15515162129237,2.37561144221254,2.02735738751402,2.19978355189187,1.72122165775878,1.75340868914635,1.46192985813475,2.93566840017904,59661.0,3.14118276702396,51246.0,2.7278870699308,110906.0,1.27080996398411,1.11858514296847,0.956825947236891,0.814418987548298,0.553229991778552,0.472218754765904,0.360316864024413,0.322664184648126,3.11505640418176,1899301.0,50.2742676512403,1878579.0,49.7257588186387,3777879.0,1.023,3656796,,,
1970,102.854533783084,5.86640038442936,96.9881333986544,18.4571163137045,18.7291515123376,47.8116727469041,931608.0,47.5801420497131,931310.0,48.045542950593,1862918.0,15.3733203641617,15.4887561326668,13.7497053718469,13.8276353055887,11.5368596099085,11.5744767564835,49.2964150061346,965737.0,49.323242643617,955031.0,49.2693162882598,1920769.0,8.56907628870929,8.61988557514226,5.7257837364238,5.90856329221674,4.80370933971884,5.04132295358519,4.7871616436663,5.06025619199439,4.30224775425037,4.55991828269853,3.33520346132857,3.3098086556369,2.36284756226645,2.07656869876547,2.14295217537085,1.67744881061087,1.75740107197405,1.44106707112604,2.89191224696137,60631.0,3.09661530666992,52049.0,2.68514076114714,112680.0,1.24758902877537,1.09477452937747,0.939592482340825,0.803347107651195,0.543852288319088,0.463838546422547,0.365581507234637,0.323180577695923,3.08818394838363,1957976.0,50.251323861433,1938390.0,49.7486504736335,3896367.0,1.023,3769171,,,
