Year,Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Population ages 00-04, female (% of female population)","Population ages 00-04, male (% of male population)",Population ages 0-14 (% of total population),"Population ages 0-14, female","Population ages 0-14, female (% of female population)","Population ages 0-14, male","Population ages 0-14, male (% of male population)","Population ages 0-14, total","Population ages 05-09, female (% of female population)","Population ages 05-09, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 15-19, male (% of male population)",Population ages 15-64 (% of total population),"Population ages 15-64, female","Population ages 15-64, female (% of female population)","Population ages 15-64, male","Population ages 15-64, male (% of male population)","Population ages 15-64, total","Population ages 20-24, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 25-29, female (% of female population)","Population ages 25-29, male (% of male population)","Population ages 30-34, female (% of female population)","Population ages 30-34, male (% of male population)","Population ages 35-39, female (% of female population)","Population ages 35-39, male (% of male population)","Population ages 40-44, female (% of female population)","Population ages 40-44, male (% of male population)","Population ages 45-49, female (% of female population)","Population ages 45-49, male (% of male population)","Population ages 50-54, female (% of female population)","Population ages 50-54, male (% of male population)","Population ages 55-59, female (% of female population)","Population ages 55-59, male (% of male population)","Population ages 60-64, female (% of female population)","Population ages 60-64, male (% of male population)",Population ages 65 and above (% of total population),"Population ages 65 and above, female","Population ages 65 and above, female (% of female population)","Population ages 65 and above, male","Population ages 65 and above, male (% of male population)","Population ages 65 and above, total","Population ages 65-69, female (% of female population)","Population ages 65-69, male (% of male population)","Population ages 70-74, female (% of female population)","Population ages 70-74, male (% of male population)","Population ages 75-79, female (% of female population)","Population ages 75-79, male (% of male population)","Population ages 80 and above, female (% of female population)","Population ages 80 and above, male (% of male population)",Population growth (annual %),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Sex ratio at birth (male births per female births),POP,NMR,DEATHS,BIRTHS
1960,84.5230393659959,9.10812921438835,75.4149101516076,16.9844695431886,18.3051069097082,40.8701864063838,6608705.0,39.742503507016,6763391.0,42.03565745238,13372096.0,13.2285060222894,13.9825242957399,9.52952794153808,9.74802624693188,7.23372912636136,7.28861941824472,54.1937730506334,9105182.0,54.7554698595672,8626186.0,53.6132540343321,17731369.0,6.99190483215004,7.01169919647734,7.36684148576125,7.23523728170131,6.35056906360522,6.14750089063455,5.92676541055947,5.74623988138463,5.05002192279676,5.03017715982919,4.79284174831763,4.75096043096519,4.09314942519335,3.98370952957839,3.92303501711999,3.70030066529717,3.02661182770215,2.71880958021963,4.93604054298275,914921.0,5.50202663341674,700075.0,4.35108851328792,1614996.0,2.32713599633022,1.98410133419915,1.6021682611184,1.2842633265157,0.942716342463251,0.691680590729992,0.630006033504865,0.391043261843078,,16628809.0,50.823933925254,16089652.0,49.176066074746,32718461.0,1.064,31656282,,,
1961,87.1404049163484,9.37154141837608,77.7688634979723,16.9224884975356,18.239311029229,41.5564251751068,6898589.0,40.3756493798655,7073506.0,42.7764775819018,13972094.0,13.4806819320775,14.2585950506683,9.97247895025244,10.2785715020044,7.21796264634595,7.2545638387104,53.4358139053817,9232879.0,54.0376462910817,8733301.0,52.8139625313786,17966180.0,6.74369166006404,6.75777411303964,7.17548638103829,7.06104933668845,6.33306044930027,6.12023667193397,5.86033751292175,5.65040938027827,5.02078527684561,4.96543595567723,4.7137709866477,4.66449201347124,4.04853970462681,3.93810281465194,3.85567434180444,3.63906381058988,3.06833733148679,2.76283459633756,5.00776091951151,954545.0,5.58670432905279,729164.0,4.40955988671968,1683708.0,2.33898049647336,1.99276788721799,1.62747452045935,1.30337379663848,0.965052553953124,0.708095745214826,0.655196758166951,0.405322457648387,2.72406040709517,17086013.0,50.8179827114297,16535970.0,49.182020262815,33621982.0,1.064,32701357,,,
1962,89.5569192944029,9.61333425841477,79.9435850359881,16.6891399802657,17.9944218814661,42.1739214221416,7183629.0,40.9356443222238,7380666.0,43.4532643144244,14564295.0,13.7992271345538,14.6083109409273,10.4472772074044,10.850531492031,7.25721491665015,7.2725369476907,52.7546021931472,9371161.0,53.4012174139446,8847054.0,52.0865428493832,18218216.0,6.55101009103779,6.55431282714692,6.90449715009891,6.80534758974188,6.3778053070527,6.15698683396587,5.74621900566778,5.51859646610831,5.04190891901495,4.93964868556611,4.5953973001195,4.5404593160779,4.05508328118527,3.9406434871289,3.7387615980462,3.52947022357042,3.13331984507133,2.82854047238621,5.07147638471121,993801.0,5.6631382638316,757577.0,4.46019283619238,1751378.0,2.34211959404263,1.99358598204082,1.65272523438704,1.32222003536353,0.988221761273547,0.725124205952949,0.680071674128377,0.419262612835089,2.67610525144357,17548591.0,50.8155655449058,16985297.0,49.1844315593879,34533889.0,1.064,33796140,,,
1963,92.1088804551945,9.82575259762929,82.2831278575652,16.5054703677049,17.8094414717703,42.8315068258328,7498081.0,41.532785855741,7718551.0,44.1733426286452,15216632.0,14.0743718531728,14.9162456177129,10.9529436348633,11.447655539162,7.35837745821044,7.36547014851124,52.0538128941628,9523251.0,52.7504496728525,8969765.0,51.3340492245766,18493016.0,6.39957204742984,6.38527030159601,6.57608448047397,6.48342563545935,6.42636478082179,6.19945277156617,5.60389932036357,5.3636902353642,5.0720023552347,4.91620527049675,4.45672498577484,4.39313938226237,4.07420983385265,3.95308002206449,3.59373530834423,3.39006752836302,3.1894791023465,2.88424792889298,5.1146802800044,1032071.0,5.71676447140643,785008.0,4.49260814677825,1817078.0,2.33734610414851,1.98799032204776,1.67036103028224,1.33457144918244,1.00742228507895,0.738929217505232,0.701635051896727,0.431117158042821,2.83441546925074,18053403.0,50.8163980318255,17473324.0,49.1836019681746,35526727.0,1.064,34932464,,,
1964,93.5543345549819,9.99767262964752,83.5566619253344,16.2862377235951,17.5874279040222,43.1696152686698,7761986.0,41.8327633909951,7998880.0,44.5511746029447,15760867.0,14.2797300817185,15.1531869826641,11.2667955856816,11.8105597162584,7.71215762432591,7.76244105542022,51.6650791201311,9720739.0,52.3893465631887,9141750.0,50.9165904781372,18862490.0,6.29565900491199,6.26227661072948,6.26919685099291,6.17674866251187,6.41653338130654,6.18962575396011,5.50075692000146,5.24784084538774,5.081121592196,4.87730977954386,4.35154761293317,4.27232597755476,4.07219403754317,3.94315811224736,3.4782803652812,3.27860383811959,3.21189917369634,2.90625984266222,5.16530561119912,1072076.0,5.77789004581618,813734.0,4.53223491891805,1885810.0,2.34517470707447,1.99483523923013,1.68429723390728,1.34348388261016,1.02550816901782,0.751301981440168,0.722909935816612,0.44261381563759,2.72780658960257,18554801.0,50.8223085676622,17954365.0,49.1776914323379,36509166.0,1.064,36099052,,,
1965,94.000445103412,10.1435940060374,83.8568510973746,15.9956850493481,17.2878441261874,43.2250806509579,7973396.0,41.8662053929217,8221346.0,44.6299729199588,16194742.0,14.427707341037,15.3317563581803,11.4428130025366,12.0103724355912,8.24779992150673,8.37625799479256,51.5462734462431,9957050.0,52.281850845937,9355316.0,50.7857864214259,19312366.0,6.24028826966189,6.18727193820857,6.01657274367102,5.91919665738231,6.32943790781654,6.10806670589155,5.44760550771857,5.18044724885657,5.06296014341443,4.82053450408299,4.29163212885015,4.188789923138,4.04123498279373,3.90377485769536,3.40659940455067,3.20879311892432,3.19771983595332,2.89265347245363,5.22864590279895,1114500.0,5.85194376114124,844469.0,4.58424065861535,1958968.0,2.36670931927844,2.01500380147658,1.69760527799883,1.35187678346469,1.04295126494324,0.762827734007545,0.74467789892074,0.45453233966654,2.58725578835246,19044946.0,50.8325064297498,18421131.0,49.1674935702502,37466077.0,1.064,37258369,,,
1966,94.6200880916208,10.3196344115099,84.3004536801109,15.8258269957767,17.1171984078861,43.3153916267521,8184933.0,41.9302795389537,8443071.0,44.748402065384,16628004.0,14.4158079021017,15.3425997203765,11.6886446410753,12.2886039371214,8.65240374801902,8.85744584385154,51.3821574384427,10176644.0,52.1335426637197,9548047.0,50.6047886747586,19724691.0,6.24097783960047,6.16602407961068,5.81538327319477,5.70678573892132,6.17876836510801,5.96495476450537,5.44538200503029,5.1628637602286,5.01773317096935,4.74595133849624,4.27609131880577,4.140777087654,3.98246423851717,3.83755528544913,3.37646552594362,3.17605512630293,3.1478731785312,2.84637564973876,5.30245093480524,1158762.0,5.93617779732662,876754.0,4.64680925985742,2035516.0,2.4031678549017,2.04904405883833,1.70753698763984,1.3576279656134,1.0594693324606,0.773680274428411,0.76600362232448,0.466456960977289,2.431447096647,19520339.0,50.8498286322806,18867872.0,49.1501739726859,38388210.0,1.064,38378468,,,
1967,94.7946317746532,10.4972329116183,84.2973988630349,15.6063344111898,16.8931716615027,43.2750125475516,8366354.0,41.8656832967545,8633181.0,44.7343677173125,16999534.0,14.2591180986158,15.2010659749471,12.000230786949,12.6401300808627,9.0932434818825,9.38437511415886,51.3361169601862,10411633.0,52.1003664018038,9754510.0,50.5447395208968,20166143.0,6.29452387906824,6.19544048544039,5.66564445529101,5.54167067167252,5.96278015006056,5.75707046538989,5.5005081866566,5.20326559756544,4.93456724619778,4.64421946171167,4.30625328046985,4.127929947849,3.89270828834898,3.74279908584824,3.39088928986926,3.18396021714343,3.05924814395902,2.76400847411739,5.38887049226217,1205812.0,6.03395030144168,911074.0,4.72089276179072,2116887.0,2.45894686991197,2.09994784640364,1.71165152331646,1.35835894162139,1.07613172050019,0.784418070275482,0.787220187713057,0.478167903490198,2.30303751050948,19983799.0,50.8719313739297,19298765.0,49.1280686260703,39282564.0,1.064,39463910,,,
1968,94.4760807272699,10.6144426511359,83.861638076134,15.2019130787166,16.4811175402601,43.1218270169774,8518718.0,41.6772638827526,8792664.0,44.6202095316942,17311381.0,14.1693404022809,15.1431070505319,12.3060104017552,12.9959849409022,9.58709642036009,9.96076590148681,51.4202047107074,10671434.0,52.2092874690795,9971355.0,50.6017234828561,20642789.0,6.41796353067105,6.30054315119035,5.56408700929834,5.41599344306986,5.70918926569628,5.50445323485556,5.5721717566287,5.25977613529743,4.83741377421275,4.53235718258849,4.35346642531637,4.1252716301483,3.79323379790338,3.63557996287647,3.42234815456285,3.20483357922836,2.9523173344297,2.66214926211446,5.45796827231511,1249572.0,6.11344864816787,941545.0,4.77806698544974,2191117.0,2.51032260783763,2.14485878936826,1.71089643164694,1.35519599211654,1.08748291042195,0.790756397064118,0.804746698261354,0.487255806900823,2.17242923906294,20439724.0,50.9143800615998,19705563.0,49.0856199384002,40145287.0,1.064,40511528,,,
1969,93.8696968847596,10.6602968396007,83.2094000451589,14.8583659171964,16.1388528170223,42.920272436044,8661932.0,41.4367067789105,8942189.0,44.4622716838132,17604121.0,14.0347032970902,15.0381165697429,12.543637564624,13.285302297048,9.90981968625347,10.3330214609223,51.581036996294,10953616.0,52.3995972447006,10202793.0,50.7302359001459,21156409.0,6.76110055066952,6.66430752764401,5.50118427049971,5.32465748936063,5.4693291353505,5.25865165011863,5.59049250268178,5.26772838530027,4.77022636041854,4.44856733020725,4.37963140848396,4.10536431320091,3.71841610470107,3.54570192101107,3.43300672292127,3.20365991066862,2.86639050272082,2.57857591171218,5.49869056766205,1288459.0,6.16369597638883,966876.0,4.80749241604094,2255336.0,2.53202400228703,2.16121266176465,1.71733095394912,1.35851701809535,1.09441452567374,0.793310632628305,0.819926494478954,0.494452103552646,2.1453894381843,20904008.0,50.9656641399615,20111857.0,49.0343358600386,41015865.0,1.064,41542068,,,
